precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Jenkins_total,Zappala_total,WRITE-IN_total,precinct_total,Jenkins_pct,Zappala_pct,WRITE-IN_pct
ALEPPO,40.53335,-80.14495,Zappala,47,77.0,20,67,0,87,23.0,77.0,0.0
ASPINWALL DIST 1,40.490700000000004,-79.90555,Zappala,5,52.1,56,61,0,117,47.9,52.1,0.0
ASPINWALL DIST 2,40.496900000000004,-79.9051,Zappala,18,59.2,40,58,0,98,40.8,59.2,0.0
ASPINWALL DIST 3,40.4909,-79.90020000000001,Zappala,43,66.4,43,87,1,131,32.8,66.4,0.8
AVALON WARD 1,40.50085,-80.07075,Zappala,12,56.8,38,50,0,88,43.2,56.8,0.0
AVALON WARD 2 DIST 1,40.49595,-80.06710000000001,Zappala,11,57.3,32,43,0,75,42.7,57.3,0.0
AVALON WARD 2 DIST 2,40.49680000000001,-80.06305,Zappala,6,55.8,23,29,0,52,44.2,55.8,0.0
AVALON WARD 3 DIST 1,40.50605,-80.06945,Zappala,15,75.9,7,22,0,29,24.1,75.9,0.0
AVALON WARD 3 DIST 2,40.5034,-80.06465,Jenkins,0,50.0,24,24,0,48,50.0,50.0,0.0
AVALON WARD 3 DIST 3,40.49995,-80.06335000000001,Zappala,10,60.9,18,28,0,46,39.1,60.9,0.0
BALDWIN BR DIST 1,40.4019,-79.95835,Zappala,43,80.3,14,57,0,71,19.7,80.3,0.0
BALDWIN BR DIST 2,40.39465,-79.96730000000001,Zappala,70,73.3,40,110,0,150,26.7,73.3,0.0
BALDWIN BR DIST 3,40.386900000000004,-79.96745000000001,Zappala,43,74.2,23,66,0,89,25.8,74.2,0.0
BALDWIN BR DIST 4,40.381350000000005,-79.96105,Zappala,73,84.8,16,89,0,105,15.2,84.8,0.0
BALDWIN BR DIST 5,40.34895,-79.96855,Zappala,44,76.8,19,63,0,82,23.2,76.8,0.0
BALDWIN BR DIST 6,40.3395,-79.99255000000001,Zappala,57,82.8,14,72,1,87,16.1,82.8,1.1
BALDWIN BR DIST 7,40.34055,-79.99010000000001,Zappala,41,74.1,22,63,0,85,25.9,74.1,0.0
BALDWIN BR DIST 8,40.34655000000001,-80.00645,Zappala,62,86.9,11,73,0,84,13.1,86.9,0.0
BALDWIN BR DIST 9,40.36370000000001,-79.95885000000001,Zappala,56,80.4,18,74,0,92,19.6,80.4,0.0
BALDWIN BR DIST 10,40.339800000000004,-79.97975000000001,Zappala,17,70.7,12,29,0,41,29.3,70.7,0.0
BALDWIN BR DIST 11,40.34085,-79.97380000000001,Zappala,28,71.2,18,47,1,66,27.3,71.2,1.5
BALDWIN BR DIST 12,40.39065,-79.96945000000001,Zappala,63,82.5,17,80,0,97,17.5,82.5,0.0
BALDWIN BR DIST 13,40.379250000000006,-79.94875,Zappala,73,84.1,17,90,0,107,15.9,84.1,0.0
BALDWIN BR DIST 14,40.342800000000004,-79.9998,Zappala,51,85.9,10,61,0,71,14.1,85.9,0.0
BALDWIN BR DIST 15,40.37295,-79.95385,Zappala,85,82.4,23,108,0,131,17.6,82.4,0.0
BALDWIN BR DIST 16,40.38550000000001,-79.94955,Zappala,81,78.7,30,111,0,141,21.3,78.7,0.0
BALDWIN BR DIST 17,40.347500000000004,-79.995,Zappala,59,86.4,11,70,0,81,13.6,86.4,0.0
BALDWIN BR DIST 18,40.35745,-79.96385000000001,Zappala,89,85.0,18,108,1,127,14.2,85.0,0.8
BALDWIN TP DIST 1,40.37665,-80.01580000000001,Zappala,76,86.5,14,90,0,104,13.5,86.5,0.0
BALDWIN TP DIST 2,40.3815,-80.01240000000001,Zappala,65,90.1,8,73,0,81,9.9,90.1,0.0
BELL ACRES,40.5874,-80.1705,Zappala,35,70.1,26,61,0,87,29.9,70.1,0.0
