precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Dugan_total,Zappala_total,Write-in_total,precinct_total,Dugan_pct,Zappala_pct,Write-in_pct
Aleppo,40.53345,-80.14515,Dugan,65,63.2,156,91,0,247,63.2,36.8,0.0
Aspinwall Dist 1,40.490700000000004,-79.90535,Zappala,1,50.2,124,125,0,249,49.8,50.2,0.0
Aspinwall Dist 2,40.49705,-79.90495000000001,Dugan,4,51.2,83,79,0,162,51.2,48.8,0.0
Aspinwall Dist 3,40.490700000000004,-79.90020000000001,Dugan,14,52.7,139,125,0,264,52.7,47.3,0.0
Avalon Ward 1,40.50085,-80.07075,Dugan,87,73.0,138,51,0,189,73.0,27.0,0.0
Avalon Ward 2 Dist 1,40.496050000000004,-80.06710000000001,Dugan,26,62.0,67,41,0,108,62.0,38.0,0.0
Avalon Ward 2 Dist 2,40.49680000000001,-80.06305,Dugan,9,55.2,48,39,0,87,55.2,44.8,0.0
Avalon Ward 3 Dist 1,40.50605,-80.06935000000001,Dugan,3,52.5,32,29,0,61,52.5,47.5,0.0
Avalon Ward 3 Dist 2,40.5034,-80.06465,Dugan,9,54.8,51,41,1,93,54.8,44.1,1.1
Avalon Ward 3 Dist 3,40.49995,-80.06335000000001,Dugan,42,71.0,71,28,1,100,71.0,28.0,1.0
Baldwin Br Dist 1,40.40185,-79.95840000000001,Zappala,40,66.7,40,80,0,120,33.3,66.7,0.0
Baldwin Br Dist 2,40.39465,-79.9672,Zappala,8,51.7,112,121,1,234,47.9,51.7,0.4
Baldwin Br Dist 3,40.386900000000004,-79.96745000000001,Zappala,14,55.2,60,74,0,134,44.8,55.2,0.0
Baldwin Br Dist 4,40.381350000000005,-79.96105,Zappala,14,55.6,54,69,1,124,43.5,55.6,0.8
Baldwin Br Dist 5,40.34870000000001,-79.96835000000002,Zappala,21,58.8,49,70,0,119,41.2,58.8,0.0
Baldwin Br Dist 6,40.3386,-79.99210000000001,Zappala,10,53.9,59,69,0,128,46.1,53.9,0.0
Baldwin Br Dist 7,40.34055,-79.99010000000001,Zappala,20,58.6,48,68,0,116,41.4,58.6,0.0
Baldwin Br Dist 8,40.34685,-80.00645,Zappala,57,70.5,41,98,0,139,29.5,70.5,0.0
Baldwin Br Dist 9,40.36365000000001,-79.95845,Zappala,42,64.6,51,93,0,144,35.4,64.6,0.0
Baldwin Br Dist 10,40.33995,-79.97975000000001,Zappala,16,60.0,32,48,0,80,40.0,60.0,0.0
Baldwin Br Dist 11,40.340900000000005,-79.97375,Zappala,14,54.4,73,87,0,160,45.6,54.4,0.0
Baldwin Br Dist 12,40.39065,-79.96945000000001,Zappala,14,55.9,51,66,1,118,43.2,55.9,0.8
Baldwin Br Dist 13,40.379200000000004,-79.9487,Zappala,41,64.5,50,91,0,141,35.5,64.5,0.0
Baldwin Br Dist 14,40.34285,-79.9998,Zappala,23,60.2,45,68,0,113,39.8,60.2,0.0
Baldwin Br Dist 15,40.37295,-79.95400000000001,Zappala,47,64.4,58,105,0,163,35.6,64.4,0.0
Baldwin Br Dist 16,40.38550000000001,-79.94955,Zappala,46,63.4,63,109,0,172,36.6,63.4,0.0
Baldwin Br Dist 17,40.347500000000004,-79.995,Zappala,17,56.4,58,75,0,133,43.6,56.4,0.0
Baldwin Br Dist 18,40.35745,-79.96360000000001,Zappala,38,59.9,76,115,1,192,39.6,59.9,0.5
Baldwin Tp Dist 1,40.37665,-80.01570000000001,Zappala,4,51.4,68,72,0,140,48.6,51.4,0.0
Baldwin Tp Dist 2,40.3815,-80.0124,Zappala,33,61.1,58,91,0,149,38.9,61.1,0.0
Bell Acres,40.587,-80.17090000000002,Dugan,18,54.6,107,89,0,196,54.6,45.4,0.0
Bellevue Ward 1 Dist 1,40.48780000000001,-80.0515,Dugan,56,67.5,108,52,0,160,67.5,32.5,0.0
Bellevue Ward 1 Dist 2,40.4923,-80.04865000000001,Dugan,37,61.1,102,65,0,167,61.1,38.9,0.0
Bellevue Ward 2 Dist 1,40.4901,-80.05715000000001,Dugan,40,63.2,96,55,1,152,63.2,36.2,0.7
Bellevue Ward 2 Dist 2,40.495200000000004,-80.06085000000002,Dugan,47,65.4,100,53,0,153,65.4,34.6,0.0
Bellevue Ward 3 Dist 1,40.498850000000004,-80.05260000000001,Dugan,52,66.9,103,51,0,154,66.9,33.1,0.0
