precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Innamorato_total,Weinstein_total,Lamb_total,Fawcett_total,Colaizzi_total,Parker_total,Write-in_total,precinct_total,Innamorato_pct,Weinstein_pct,Lamb_pct,Fawcett_pct,Colaizzi_pct,Parker_pct,Write-in_pct
Aleppo,40.53345,-80.14515,Innamorato,22,35.6,89,67,60,25,6,3,0,250,35.6,26.8,24.0,10.0,2.4,1.2,0.0
Aspinwall Dist 1,40.490700000000004,-79.90535,Innamorato,112,59.0,151,34,30,39,1,1,0,256,59.0,13.3,11.7,15.2,0.4,0.4,0.0
Aspinwall Dist 2,40.49705,-79.90495000000001,Innamorato,62,53.9,89,27,26,19,1,3,0,165,53.9,16.4,15.8,11.5,0.6,1.8,0.0
Aspinwall Dist 3,40.490700000000004,-79.90020000000001,Innamorato,120,59.9,160,40,36,30,1,0,0,267,59.9,15.0,13.5,11.2,0.4,0.0,0.0
Avalon Ward 1,40.50085,-80.07075,Innamorato,63,54.8,103,40,20,20,3,2,0,188,54.8,21.3,10.6,10.6,1.6,1.1,0.0
Avalon Ward 2 Dist 1,40.496050000000004,-80.06710000000001,Innamorato,9,41.8,46,37,13,9,4,1,0,110,41.8,33.6,11.8,8.2,3.6,0.9,0.0
Avalon Ward 2 Dist 2,40.49680000000001,-80.06305,Innamorato,14,42.4,36,22,12,11,3,0,1,85,42.4,25.9,14.1,12.9,3.5,0.0,1.2
Avalon Ward 3 Dist 1,40.50605,-80.06935000000001,Weinstein,4,38.1,20,24,13,5,1,0,0,63,31.7,38.1,20.6,7.9,1.6,0.0,0.0
Avalon Ward 3 Dist 2,40.5034,-80.06465,Innamorato,1,32.3,30,29,23,7,2,2,0,93,32.3,31.2,24.7,7.5,2.2,2.2,0.0
Avalon Ward 3 Dist 3,40.49995,-80.06335000000001,Innamorato,9,36.3,37,28,20,14,1,2,0,102,36.3,27.5,19.6,13.7,1.0,2.0,0.0
Baldwin Br Dist 1,40.40185,-79.95840000000001,Weinstein,32,50.4,30,62,20,10,1,0,0,123,24.4,50.4,16.3,8.1,0.8,0.0,0.0
Baldwin Br Dist 2,40.39465,-79.9672,Weinstein,4,31.9,71,75,63,23,3,0,0,235,30.2,31.9,26.8,9.8,1.3,0.0,0.0
Baldwin Br Dist 3,40.386900000000004,-79.96745000000001,Weinstein,14,38.8,38,52,33,6,4,1,0,134,28.4,38.8,24.6,4.5,3.0,0.7,0.0
Baldwin Br Dist 4,40.381350000000005,-79.96105,Weinstein,29,45.6,27,57,28,12,1,0,0,125,21.6,45.6,22.4,9.6,0.8,0.0,0.0
Baldwin Br Dist 5,40.34870000000001,-79.96835000000002,Weinstein,10,38.3,29,46,36,7,1,1,0,120,24.2,38.3,30.0,5.8,0.8,0.8,0.0
Baldwin Br Dist 6,40.3386,-79.99210000000001,Weinstein,33,48.8,30,63,23,11,1,1,0,129,23.3,48.8,17.8,8.5,0.8,0.8,0.0
Baldwin Br Dist 7,40.34055,-79.99010000000001,Weinstein,13,39.0,33,46,26,12,1,0,0,118,28.0,39.0,22.0,10.2,0.8,0.0,0.0
Baldwin Br Dist 8,40.34685,-80.00645,Weinstein,60,58.6,23,85,25,10,0,2,0,145,15.9,58.6,17.2,6.9,0.0,1.4,0.0
Baldwin Br Dist 9,40.36365000000001,-79.95845,Weinstein,17,37.4,38,55,34,12,4,3,1,147,25.9,37.4,23.1,8.2,2.7,2.0,0.7
Baldwin Br Dist 10,40.33995,-79.97975000000001,Weinstein,8,38.3,15,31,23,5,1,6,0,81,18.5,38.3,28.4,6.2,1.2,7.4,0.0
Baldwin Br Dist 11,40.340900000000005,-79.97375,Weinstein,8,35.2,48,56,38,13,0,4,0,159,30.2,35.2,23.9,8.2,0.0,2.5,0.0
Baldwin Br Dist 12,40.39065,-79.96945000000001,Weinstein,32,52.5,30,62,16,8,1,1,0,118,25.4,52.5,13.6,6.8,0.8,0.8,0.0
Baldwin Br Dist 13,40.379200000000004,-79.9487,Weinstein,17,38.6,39,56,34,15,1,0,0,145,26.9,38.6,23.4,10.3,0.7,0.0,0.0
Baldwin Br Dist 14,40.34285,-79.9998,Weinstein,35,50.9,22,58,23,10,1,0,0,114,19.3,50.9,20.2,8.8,0.9,0.0,0.0
Baldwin Br Dist 15,40.37295,-79.95400000000001,Weinstein,45,54.0,21,88,43,7,4,0,0,163,12.9,54.0,26.4,4.3,2.5,0.0,0.0
Baldwin Br Dist 16,40.38550000000001,-79.94955,Weinstein,38,45.1,40,78,39,7,7,2,0,173,23.1,45.1,22.5,4.0,4.0,1.2,0.0
