muni_name,classification
ALEPPO,Hallam-Dugan-Innamorato
ASPINWALL,Hallam-Dugan-Innamorato
AVALON,Hallam-Dugan-Innamorato
BALDWIN BR,Hallam
BALDWIN TP,Hallam
BELL ACRES,Hallam-Dugan
BELLEVUE,Hallam-Dugan-Innamorato
BEN AVON,Hallam-Dugan-Innamorato
BEN AVON HEIGHTS,Dugan-Innamorato
BETHEL PARK,Hallam
BLAWNOX,Hallam-Innamorato
BRACKENRIDGE,Hallam
BRADDOCK,Hallam-Dugan-Innamorato
BRADDOCK HILLS,Hallam-Dugan-Innamorato
BRADFORD WOODS,Hallam-Dugan
BRENTWOOD,Hallam
BRIDGEVILLE,Dugan
CARNEGIE,Hallam-Dugan
CASTLE SHANNON,Hallam
CHALFANT,Hallam
CHESWICK,No wins
CHURCHILL,Hallam-Dugan-Innamorato
CLAIRTON,Hallam-Dugan
COLLIER,No wins
CORAOPOLIS,Dugan
CRAFTON,Hallam-Dugan-Innamorato
CRESCENT,Dugan
DORMONT,Hallam-Dugan-Innamorato
DRAVOSBURG,No wins
DUQUESNE,Hallam-Dugan
EAST DEER,No wins
EAST MCKEESPORT,No wins
EAST PITTSBURGH,Dugan
EDGEWOOD,Hallam-Dugan-Innamorato
EDGEWORTH,Hallam-Dugan-Innamorato
ELIZABETH BR,Hallam
ELIZABETH TP,Hallam
EMSWORTH,Hallam-Dugan-Innamorato
ETNA,Hallam-Innamorato
FAWN,Hallam
FINDLAY,Hallam-Dugan
FOREST HILLS,Hallam-Dugan-Innamorato
FORWARD,No wins
FOX CHAPEL,Hallam-Dugan-Innamorato
FRANKLIN PARK,Hallam-Dugan-Innamorato
FRAZER,No wins
GLASSPORT,No wins
GLENFIELD,Dugan
GREEN TREE,Hallam
HAMPTON,Hallam-Innamorato
HARMAR,Hallam
HARRISON,No wins
HAYSVILLE,Hallam-Dugan
HEIDELBERG,Hallam-Dugan
HOMESTEAD,Hallam-Dugan-Innamorato
INDIANA,Hallam-Innamorato
INGRAM,Hallam-Dugan
JEFFERSON HILLS,Hallam
KENNEDY,No wins
KILBUCK,Hallam-Dugan-Innamorato
LEET,Hallam-Dugan-Innamorato
