muni_name,muni_center_lat,muni_center_lon,pctdiff,cand_towards,19da_Cand1_pct,19da_Cand2_pct,19da_Write-in_pct,23da_Cand1_pct,23da_Cand2_pct,23da_Write-in_pct
ALEPPO,40.5329671012,-80.1435136794,51.04,Dugan,23,77,0,62.3,37.7,0
ASPINWALL,40.4928596238,-79.9037339023,18.15,Dugan,40.2,59.5,0.3,51.3,48.7,0
AVALON,40.5011104217,-80.0680399603,38.45,Dugan,42,58,0,64,35.7,0.3
BALDWIN BR,40.3690140442,-79.9668752452,26.03,Dugan,19.5,80.3,0.2,40.4,59.4,0.2
BALDWIN TP,40.3801309126,-80.014264895,35.64,Dugan,11.9,88.1,0,43.3,56.7,0
BELL ACRES,40.5897861426,-80.1737855159,35.24,Dugan,29.9,70.1,0,54.6,45.4,0
BELLEVUE,40.494484533,-80.0549911889,32.59,Dugan,46,53.7,0.3,63.7,36.2,0.1
BEN AVON,40.5058499399,-80.0814998955,31.1,Dugan,49.7,49.2,1.1,66.1,33.9,0
BEN AVON HEIGHTS,40.5125495812,-80.07309166,27.33,Dugan,40,60,0,56.4,43.6,0
BETHEL PARK,40.3238217877,-80.0364204534,32.98,Dugan,24.1,75.8,0.1,49.1,50.8,0.1
BLAWNOX,40.4921946551,-79.8599445605,21.3,Dugan,21.6,78.4,0,38.3,61.7,0
BRACKENRIDGE,40.6079783215,-79.7410282987,21.29,Dugan,16.4,83.6,0,34.2,65.8,0
BRADDOCK,40.401801524,-79.8689572618,34.09,Zappala,81.7,17.6,0.7,76,23.6,0.4
BRADDOCK HILLS,40.4180179396,-79.8629300408,7.27,Dugan,50.5,49.5,0,54.1,45.9,0
BRADFORD WOODS,40.6369423429,-80.0809073585,33.12,Dugan,36.9,63.1,0,57.8,42.2,0
BRENTWOOD,40.3733901063,-79.9757881637,21.17,Dugan,27.7,71.8,0.5,43.4,56.6,0
BRIDGEVILLE,40.3577634325,-80.1061833081,34.04,Dugan,24.1,75.5,0.4,50.2,49.8,0
CARNEGIE,40.4079964051,-80.0860294112,36.31,Dugan,26.8,72.7,0.5,53.7,46.3,0
CASTLE SHANNON,40.3664510454,-80.0194413677,34.94,Dugan,23,77,0,49.8,50.1,0.1
CHALFANT,40.4101018873,-79.838619697,13.64,Dugan,38.4,61.6,0,46.8,53.2,0
CHESWICK,40.5427922234,-79.8012457196,15.12,Dugan,20.7,78.7,0.6,33.2,66.8,0
CHURCHILL,40.4388605994,-79.8415980177,14.66,Dugan,58,41.6,0.4,64.4,35.5,0.1
CLAIRTON,40.2975931764,-79.885385351,19.13,Dugan,44.1,55.4,0.5,54.9,44.8,0.3
COLLIER,40.3990971611,-80.1321015567,31.33,Dugan,21.5,78.2,0.3,46.3,53.7,0
CORAOPOLIS,40.5148455763,-80.1626647575,42.03,Dugan,34,65.9,0.2,61.5,38.2,0.3
CRAFTON,40.4333016261,-80.0711401219,37.36,Dugan,36.9,62.9,0.2,60.6,39.4,0
CRESCENT,40.5561964413,-80.2287048835,44.08,Dugan,20.6,79.4,0,55.6,44.4,0
