muni_name,muni_center_lat,muni_center_lon,winner,winner_net,winner_pct,Jenkins_total,Zappala_total,WRITE-IN_total,muni_total,Jenkins_pct,Zappala_pct,WRITE-IN_pct
ALEPPO,40.5329671012,-80.1435136794,Zappala,47,77.0,20,67,0,87,23.0,77.0,0.0
ASPINWALL,40.4928596238,-79.9037339023,Zappala,66,59.5,139,206,1,346,40.2,59.5,0.3
AVALON,40.5011104217,-80.0680399603,Zappala,54,58.0,142,196,0,338,42.0,58.0,0.0
BALDWIN BR,40.3690140442,-79.9668752452,Zappala,1035,80.3,333,1371,3,1707,19.5,80.3,0.2
BALDWIN TP,40.3801309126,-80.014264895,Zappala,141,88.1,22,163,0,185,11.9,88.1,0.0
BELL ACRES,40.5897861426,-80.1737855159,Zappala,35,70.1,26,61,0,87,29.9,70.1,0.0
BELLEVUE,40.494484533,-80.0549911889,Zappala,46,53.7,288,336,2,626,46.0,53.7,0.3
BEN AVON,40.5058499399,-80.0814998955,Jenkins,-1,49.7,90,89,2,181,49.7,49.2,1.1
BEN AVON HEIGHTS,40.5125495812,-80.07309166,Zappala,7,60.0,14,21,0,35,40.0,60.0,0.0
BETHEL PARK,40.3238217877,-80.0364204534,Zappala,1371,75.8,642,2015,2,2659,24.1,75.8,0.1
BLAWNOX,40.4921946551,-79.8599445605,Zappala,71,78.4,27,98,0,125,21.6,78.4,0.0
BRACKENRIDGE,40.6079783215,-79.7410282987,Zappala,131,83.6,32,163,0,195,16.4,83.6,0.0
BRADDOCK,40.401801524,-79.8689572618,Jenkins,176,81.7,227,49,2,278,81.7,17.6,0.7
BRADDOCK HILLS,40.4180179396,-79.8629300408,Jenkins,2,50.5,105,103,0,208,50.5,49.5,0.0
BRADFORD WOODS,40.6369423429,-80.0809073585,Zappala,22,63.1,31,53,0,84,36.9,63.1,0.0
BRENTWOOD,40.3733901063,-79.9757881637,Zappala,254,71.8,161,418,3,582,27.7,71.8,0.5
BRIDGEVILLE,40.3577634325,-80.1061833081,Zappala,129,75.5,61,191,1,253,24.1,75.5,0.4
CARNEGIE,40.4079964051,-80.0860294112,Zappala,187,72.7,110,299,2,411,26.8,72.7,0.5
CASTLE SHANNON,40.3664510454,-80.0194413677,Zappala,290,77.0,124,414,0,538,23.0,77.0,0.0
CHALFANT,40.4101018873,-79.838619697,Zappala,17,61.6,28,45,0,73,38.4,61.6,0.0
CHESWICK,40.5427922234,-79.8012457196,Zappala,97,78.7,35,133,1,169,20.7,78.7,0.6
CHURCHILL,40.4388605994,-79.8415980177,Jenkins,76,58.0,276,198,2,476,58.0,41.6,0.4
CLAIRTON,40.2975931764,-79.885385351,Zappala,67,55.4,271,341,3,615,44.1,55.4,0.5
COLLIER,40.3990971611,-80.1321015567,Zappala,368,78.2,140,510,2,652,21.5,78.2,0.3
CORAOPOLIS,40.5148455763,-80.1626647575,Zappala,186,65.9,199,386,1,586,34.0,65.9,0.2
CRAFTON,40.4333016261,-80.0711401219,Zappala,109,62.9,156,266,1,423,36.9,62.9,0.2
CRESCENT,40.5561964413,-80.2287048835,Zappala,97,79.4,34,131,0,165,20.6,79.4,0.0
DORMONT,40.3940553152,-80.0377096919,Zappala,115,58.5,281,397,1,679,41.4,58.5,0.1
DRAVOSBURG,40.3508573908,-79.8906127754,Zappala,102,80.7,32,134,0,166,19.3,80.7,0.0
DUQUESNE,40.3731849682,-79.8502017524,Zappala,15,51.4,256,272,1,529,48.4,51.4,0.2
EAST DEER,40.5882939465,-79.7802279049,Zappala,62,85.2,13,75,0,88,14.8,85.2,0.0
EAST MCKEESPORT,40.3848189239,-79.8074481875,Zappala,44,62.5,65,110,1,176,36.9,62.5,0.6
EAST PITTSBURGH,40.3968768777,-79.8382065416,Jenkins,64,65.7,134,70,0,204,65.7,34.3,0.0
EDGEWOOD,40.4313035044,-79.8839717635,Jenkins,150,64.4,335,184,1,520,64.4,35.4,0.2
EDGEWORTH,40.5546343952,-80.1921750931,Zappala,47,78.3,18,65,0,83,21.7,78.3,0.0
ELIZABETH BR,40.2713823246,-79.8873670292,Zappala,44,82.4,12,56,0,68,17.6,82.4,0.0
ELIZABETH TP,40.2637868478,-79.8277463903,Zappala,644,82.0,181,825,0,1006,18.0,82.0,0.0
EMSWORTH,40.511236207,-80.0965625504,Zappala,45,64.7,54,99,0,153,35.3,64.7,0.0
ETNA,40.4975721132,-79.947530213,Zappala,64,64.4,79,143,0,222,35.6,64.4,0.0
FAWN,40.6498803749,-79.7672678602,Zappala,94,81.3,28,122,0,150,18.7,81.3,0.0
FINDLAY,40.478263556,-80.2810584564,Zappala,173,78.5,63,238,2,303,20.8,78.5,0.7
FOREST HILLS,40.4250902135,-79.8544691352,Zappala,-3,49.8,476,479,6,961,49.5,49.8,0.6
FORWARD,40.2261144012,-79.9021999673,Zappala,121,82.7,31,153,1,185,16.8,82.7,0.5
FOX CHAPEL,40.5247142282,-79.8897933243,Zappala,167,66.5,169,336,0,505,33.5,66.5,0.0
FRANKLIN PARK,40.5902797462,-80.0998508115,Zappala,266,68.1,233,501,2,736,31.7,68.1,0.3
FRAZER,40.6064982622,-79.796427941,Zappala,31,84.4,7,38,0,45,15.6,84.4,0.0
GLASSPORT,40.3261788906,-79.8862083815,Zappala,253,79.9,84,338,1,423,19.9,79.9,0.2
GLENFIELD,40.5207777739,-80.1333428342,Zappala,8,83.3,2,10,0,12,16.7,83.3,0.0
GREEN TREE,40.4170650261,-80.0543195574,Zappala,152,71.3,102,254,0,356,28.7,71.3,0.0
HAMPTON,40.5844175984,-79.9533593791,Zappala,411,70.1,304,717,2,1023,29.7,70.1,0.2
HARMAR,40.5470151587,-79.8386437203,Zappala,156,85.5,32,188,0,220,14.5,85.5,0.0
