muni_name,muni_center_lat,muni_center_lon,winner,winner_net,winner_pct,Hallam_total,Doven_total,Write-in_total,muni_total,Hallam_pct,Doven_pct,Write-in_pct
ALEPPO,40.5329671012,-80.1435136794,Hallam,31,57.0,126,95,0,221,57.0,43.0,0.0
ASPINWALL,40.4928596238,-79.9037339023,Hallam,129,60.5,365,236,2,603,60.5,39.1,0.3
AVALON,40.5011104217,-80.0680399603,Hallam,170,63.8,385,215,3,603,63.8,35.7,0.5
BALDWIN BR,40.3690140442,-79.9668752452,Hallam,80,51.6,1207,1127,5,2339,51.6,48.2,0.2
BALDWIN TP,40.3801309126,-80.014264895,Hallam,33,55.6,148,115,3,266,55.6,43.2,1.1
BELL ACRES,40.5897861426,-80.1737855159,Hallam,14,54.0,94,80,0,174,54.0,46.0,0.0
BELLEVUE,40.494484533,-80.0549911889,Hallam,241,63.2,576,335,0,911,63.2,36.8,0.0
BEN AVON,40.5058499399,-80.0814998955,Hallam,93,64.4,199,106,4,309,64.4,34.3,1.3
BEN AVON HEIGHTS,40.5125495812,-80.07309166,Doven,8,55.4,33,41,0,74,44.6,55.4,0.0
BETHEL PARK,40.3238217877,-80.0364204534,Hallam,466,55.3,2285,1819,28,4132,55.3,44.0,0.7
BLAWNOX,40.4921946551,-79.8599445605,Hallam,2,50.0,91,89,2,182,50.0,48.9,1.1
BRACKENRIDGE,40.6079783215,-79.7410282987,Hallam,10,51.8,147,137,0,284,51.8,48.2,0.0
BRADDOCK,40.401801524,-79.8689572618,Hallam,4,50.7,107,103,1,211,50.7,48.8,0.5
BRADDOCK HILLS,40.4180179396,-79.8629300408,Hallam,14,52.2,153,139,1,293,52.2,47.4,0.3
BRADFORD WOODS,40.6369423429,-80.0809073585,Hallam,35,60.4,99,64,1,164,60.4,39.0,0.6
BRENTWOOD,40.3733901063,-79.9757881637,Hallam,185,59.3,579,394,3,976,59.3,40.4,0.3
BRIDGEVILLE,40.3577634325,-80.1061833081,Doven,3,50.1,229,232,2,463,49.5,50.1,0.4
CARNEGIE,40.4079964051,-80.0860294112,Hallam,80,55.1,429,349,1,779,55.1,44.8,0.1
CASTLE SHANNON,40.3664510454,-80.0194413677,Hallam,136,56.8,560,424,2,986,56.8,43.0,0.2
CHALFANT,40.4101018873,-79.838619697,Hallam,2,51.0,52,50,0,102,51.0,49.0,0.0
CHESWICK,40.5427922234,-79.8012457196,Doven,23,54.1,128,151,0,279,45.9,54.1,0.0
CHURCHILL,40.4388605994,-79.8415980177,Hallam,120,57.8,422,302,6,730,57.8,41.4,0.8
CLAIRTON,40.2975931764,-79.885385351,Hallam,9,50.4,314,305,4,623,50.4,49.0,0.6
COLLIER,40.3990971611,-80.1321015567,Doven,22,50.8,517,539,4,1060,48.8,50.8,0.4
CORAOPOLIS,40.5148455763,-80.1626647575,Doven,13,50.7,308,321,4,633,48.7,50.7,0.6
CRAFTON,40.4333016261,-80.0711401219,Hallam,115,57.6,422,307,4,733,57.6,41.9,0.5
CRESCENT,40.5561964413,-80.2287048835,Doven,26,55.9,98,124,0,222,44.1,55.9,0.0
DORMONT,40.3940553152,-80.0377096919,Hallam,376,64.7,821,445,3,1269,64.7,35.1,0.2
DRAVOSBURG,40.3508573908,-79.8906127754,Doven,29,56.3,88,117,3,208,42.3,56.3,1.4
DUQUESNE,40.3731849682,-79.8502017524,Hallam,46,55.0,246,200,1,447,55.0,44.7,0.2
EAST DEER,40.5882939465,-79.7802279049,Doven,9,52.6,61,70,2,133,45.9,52.6,1.5
EAST MCKEESPORT,40.3848189239,-79.8074481875,Doven,17,53.5,105,122,1,228,46.1,53.5,0.4
EAST PITTSBURGH,40.3968768777,-79.8382065416,Doven,13,54.6,58,71,1,130,44.6,54.6,0.8
EDGEWOOD,40.4313035044,-79.8839717635,Hallam,317,68.7,579,262,2,843,68.7,31.1,0.2
EDGEWORTH,40.5546343952,-80.1921750931,Hallam,38,58.5,127,89,1,217,58.5,41.0,0.5
ELIZABETH BR,40.2713823246,-79.8873670292,Hallam,11,56.0,51,40,0,91,56.0,44.0,0.0
ELIZABETH TP,40.2637868478,-79.8277463903,Hallam,45,51.6,624,579,7,1210,51.6,47.9,0.6
EMSWORTH,40.511236207,-80.0965625504,Hallam,29,55.6,143,114,0,257,55.6,44.4,0.0
ETNA,40.4975721132,-79.947530213,Hallam,73,59.5,228,155,0,383,59.5,40.5,0.0
FAWN,40.6498803749,-79.7672678602,Hallam,12,53.5,92,80,0,172,53.5,46.5,0.0
FINDLAY,40.478263556,-80.2810584564,Hallam,88,58.0,318,230,0,548,58.0,42.0,0.0
FOREST HILLS,40.4250902135,-79.8544691352,Hallam,333,61.7,868,535,4,1407,61.7,38.0,0.3
FORWARD,40.2261144012,-79.9021999673,Doven,8,50.9,134,142,3,279,48.0,50.9,1.1
FOX CHAPEL,40.5247142282,-79.8897933243,Hallam,111,56.5,455,344,6,805,56.5,42.7,0.7
FRANKLIN PARK,40.5902797462,-80.0998508115,Hallam,428,63.7,986,558,5,1549,63.7,36.0,0.3
FRAZER,40.6064982622,-79.796427941,Doven,2,51.1,45,47,0,92,48.9,51.1,0.0
GLASSPORT,40.3261788906,-79.8862083815,Doven,37,55.2,160,197,0,357,44.8,55.2,0.0
GLENFIELD,40.5207777739,-80.1333428342,Doven,4,58.3,10,14,0,24,41.7,58.3,0.0
GREEN TREE,40.4170650261,-80.0543195574,Hallam,114,57.8,410,296,3,709,57.8,41.7,0.4
HAMPTON,40.5844175984,-79.9533593791,Hallam,300,56.8,1186,886,17,2089,56.8,42.4,0.8
HARMAR,40.5470151587,-79.8386437203,Hallam,1,50.0,180,179,1,360,50.0,49.7,0.3
HARRISON,40.6375053295,-79.7172260601,Doven,22,50.6,559,581,8,1148,48.7,50.6,0.7
HAYSVILLE,40.5269248178,-80.1561512664,Hallam,3,66.7,6,3,0,9,66.7,33.3,0.0
HEIDELBERG,40.3914736101,-80.0921910873,Hallam,27,59.7,77,50,2,129,59.7,38.8,1.6
HOMESTEAD,40.4072815785,-79.909728261,Hallam,30,54.5,174,144,1,319,54.5,45.1,0.3
INDIANA,40.572992561,-79.8736973467,Hallam,131,58.2,461,330,1,792,58.2,41.7,0.1
INGRAM,40.4448305463,-80.0685039411,Hallam,72,58.5,241,169,2,412,58.5,41.0,0.5
JEFFERSON HILLS,40.2926240608,-79.9329049609,Hallam,67,52.6,579,512,9,1100,52.6,46.5,0.8
KENNEDY,40.4767750958,-80.1028319549,Doven,331,60.8,584,915,7,1506,38.8,60.8,0.5
KILBUCK,40.5203521211,-80.0983246821,Hallam,32,64.5,69,37,1,107,64.5,34.6,0.9
LEET,40.5740266866,-80.2037857716,Hallam,39,58.7,125,86,2,213,58.7,40.4,0.9
LEETSDALE,40.565643399,-80.2144062328,Hallam,35,63.9,76,41,2,119,63.9,34.5,1.7
LIBERTY,40.3243177734,-79.8590470355,Doven,20,54.6,92,112,1,205,44.9,54.6,0.5
LINCOLN,40.299484734,-79.855457382,Doven,24,62.6,33,57,1,91,36.3,62.6,1.1
MARSHALL,40.6452740897,-80.110019364,Hallam,103,56.3,449,346,3,798,56.3,43.4,0.4
MCCANDLESS,40.5836006983,-80.0283138889,Hallam,657,58.8,2097,1440,27,3564,58.8,40.4,0.8
MCDONALD,40.3715903128,-80.2269760957,Doven,1,52.2,11,12,0,23,47.8,52.2,0.0
MCKEESPORT,40.341876154,-79.8440020679,Doven,175,54.4,854,1029,7,1890,45.2,54.4,0.4
MCKEES ROCKS,40.4687652366,-80.0630458872,Hallam,6,50.2,201,195,4,400,50.2,48.8,1.0
MILLVALE,40.4817384012,-79.973603732,Hallam,55,57.0,220,165,1,386,57.0,42.7,0.3
MONROEVILLE,40.4262399041,-79.7605272515,Hallam,247,53.5,1782,1535,16,3333,53.5,46.1,0.5
MOON,40.5081596691,-80.2073380906,Hallam,284,55.9,1307,1023,10,2340,55.9,43.7,0.4
MOUNT LEBANON,40.3752498222,-80.0494413347,Hallam,1305,61.1,3489,2184,39,5712,61.1,38.2,0.7
MOUNT OLIVER,40.4112805537,-79.9856420425,Hallam,10,51.6,126,116,2,244,51.6,47.5,0.8
MUNHALL,40.3935914898,-79.9004945306,Doven,4,49.7,732,736,12,1480,49.5,49.7,0.8
NEVILLE,40.5063507402,-80.1115003575,Hallam,6,52.1,63,57,1,121,52.1,47.1,0.8
NORTH BRADDOCK,40.4022728227,-79.8533371116,Doven,35,53.5,216,251,2,469,46.1,53.5,0.4
NORTH FAYETTE,40.4203757047,-80.2245079685,Hallam,98,53.6,672,574,8,1254,53.6,45.8,0.6
NORTH VERSAILLES,40.3784346571,-79.8084677048,Doven,103,54.5,518,621,1,1140,45.4,54.5,0.1
OAKDALE,40.4001763517,-80.1871507649,Hallam,36,60.3,105,69,0,174,60.3,39.7,0.0
OAKMONT,40.5200197453,-79.8365600181,Hallam,173,58.3,596,423,4,1023,58.3,41.3,0.4
O'HARA,40.5092024135,-79.8949503818,Hallam,174,55.1,870,696,12,1578,55.1,44.1,0.8
OHIO,40.5424610917,-80.0925939311,Hallam,111,56.4,488,377,0,865,56.4,43.6,0.0
GLEN OSBORNE,40.5307797921,-80.1679034089,Doven,8,54.0,39,47,1,87,44.8,54.0,1.1
PENN HILLS,40.476217336,-79.8254062257,Hallam,416,53.6,2905,2489,29,5423,53.6,45.9,0.5
PINE,40.6437301455,-80.0314700613,Hallam,226,59.8,680,454,3,1137,59.8,39.9,0.3
PITCAIRN,40.4077733303,-79.7763559261,Hallam,36,57.4,128,92,3,223,57.4,41.3,1.3
PITTSBURGH WARD 1,40.4374639839,-79.9938780597,Hallam,83,70.0,142,59,2,203,70.0,29.1,1.0
PITTSBURGH WARD 2,40.4475614992,-79.9898819105,Hallam,121,61.3,325,204,1,530,61.3,38.5,0.2
PITTSBURGH WARD 3,40.4420703356,-79.9854523304,Hallam,7,50.6,215,208,2,425,50.6,48.9,0.5
PITTSBURGH WARD 4,40.4386878915,-79.9586577203,Hallam,244,59.3,763,519,4,1286,59.3,40.4,0.3
PITTSBURGH WARD 5,40.4492377906,-79.9669484316,Doven,13,50.7,429,442,1,872,49.2,50.7,0.1
PITTSBURGH WARD 6,40.4613272817,-79.9673493445,Hallam,263,66.7,520,257,3,780,66.7,32.9,0.4
PITTSBURGH WARD 7,40.4534949802,-79.9322270088,Hallam,626,63.5,1288,662,77,2027,63.5,32.7,3.8
PITTSBURGH WARD 8,40.4600190527,-79.9416829184,Hallam,702,69.1,1253,551,9,1813,69.1,30.4,0.5
PITTSBURGH WARD 9,40.4718176042,-79.9541103697,Hallam,489,68.8,879,390,8,1277,68.8,30.5,0.6
PITTSBURGH WARD 10,40.4799586076,-79.9387046889,Hallam,549,59.0,1767,1218,9,2994,59.0,40.7,0.3
PITTSBURGH WARD 11,40.4740156102,-79.9201006128,Hallam,817,64.7,1766,949,15,2730,64.7,34.8,0.5
PITTSBURGH WARD 12,40.4701274923,-79.9015523101,Doven,95,54.7,402,497,9,908,44.3,54.7,1.0
PITTSBURGH WARD 13,40.455385638,-79.8849575852,Doven,91,54.4,447,538,4,989,45.2,54.4,0.4
PITTSBURGH WARD 14,40.4364139751,-79.9183763342,Hallam,2226,62.4,5209,2983,161,8353,62.4,35.7,1.9
PITTSBURGH WARD 15,40.4143254293,-79.9374899629,Hallam,292,56.4,1253,961,6,2220,56.4,43.3,0.3
PITTSBURGH WARD 16,40.4174797415,-79.9688892289,Hallam,218,60.8,608,390,2,1000,60.8,39.0,0.2
PITTSBURGH WARD 17,40.4264812989,-79.9855120588,Hallam,180,62.5,441,261,4,706,62.5,37.0,0.6
PITTSBURGH WARD 18,40.4174657138,-80.0002025037,Hallam,29,51.3,406,377,8,791,51.3,47.7,1.0
PITTSBURGH WARD 19,40.4140123971,-80.0179154834,Hallam,467,55.7,2157,1690,23,3870,55.7,43.7,0.6
PITTSBURGH WARD 20,40.4350667315,-80.0428459428,Hallam,36,50.8,837,801,9,1647,50.8,48.6,0.5
PITTSBURGH WARD 21,40.4547709943,-80.0262089511,Hallam,113,62.9,259,146,7,412,62.9,35.4,1.7
PITTSBURGH WARD 22,40.4513067176,-80.0099794565,Hallam,232,69.4,406,174,5,585,69.4,29.7,0.9
PITTSBURGH WARD 23,40.4542937263,-79.9962466655,Hallam,150,69.4,265,115,2,382,69.4,30.1,0.5
PITTSBURGH WARD 24,40.4630954036,-79.9887007499,Hallam,141,61.1,386,245,1,632,61.1,38.8,0.2
PITTSBURGH WARD 25,40.460946386,-80.0116183606,Hallam,208,68.7,375,167,4,546,68.7,30.6,0.7
PITTSBURGH WARD 26,40.4797030764,-80.0100508924,Hallam,382,63.1,902,520,7,1429,63.1,36.4,0.5
PITTSBURGH WARD 27,40.4771489241,-80.0345749853,Hallam,596,66.5,1186,590,8,1784,66.5,33.1,0.4
PITTSBURGH WARD 28,40.4412554676,-80.0694845438,Hallam,175,57.2,677,502,5,1184,57.2,42.4,0.4
PITTSBURGH WARD 29,40.3948740302,-79.986088037,Hallam,232,61.6,610,378,2,990,61.6,38.2,0.2
PITTSBURGH WARD 30,40.4135568204,-79.9929833876,Hallam,41,57.4,155,114,1,270,57.4,42.2,0.4
PITTSBURGH WARD 31,40.3854898734,-79.9323655715,Doven,34,52.6,280,314,3,597,46.9,52.6,0.5
PITTSBURGH WARD 32,40.3871327458,-80.0001669474,Hallam,160,59.2,483,323,10,816,59.2,39.6,1.2
PLEASANT HILLS,40.3298323238,-79.9596531779,Hallam,99,54.8,533,434,6,973,54.8,44.6,0.6
PLUM,40.5024030928,-79.7496201111,Hallam,217,53.8,1473,1256,11,2740,53.8,45.8,0.4
PORT VUE,40.3370541577,-79.8720244999,Doven,13,51.7,150,163,2,315,47.6,51.7,0.6
RANKIN,40.4109547003,-79.8812336843,Hallam,7,51.8,103,96,0,199,51.8,48.2,0.0
RESERVE,40.4851089325,-79.9888064246,Hallam,53,55.0,284,231,1,516,55.0,44.8,0.2
RICHLAND,40.6439839052,-79.9579558983,Hallam,69,53.0,573,504,5,1082,53.0,46.6,0.5
ROBINSON,40.4577747426,-80.1333479648,Hallam,104,52.0,1156,1052,14,2222,52.0,47.3,0.6
ROSS,40.5256043993,-80.0242499811,Hallam,596,56.5,2485,1889,21,4395,56.5,43.0,0.5
ROSSLYN FARMS,40.4224271193,-80.0885481682,Hallam,6,53.3,48,42,0,90,53.3,46.7,0.0
SCOTT,40.3875043541,-80.0791341083,Hallam,61,51.3,1053,992,7,2052,51.3,48.3,0.3
SEWICKLEY,40.5399373905,-80.1793173586,Hallam,106,59.4,318,212,5,535,59.4,39.6,0.9
SEWICKLEY HEIGHTS,40.5595268065,-80.1528050975,Hallam,23,65.3,47,24,1,72,65.3,33.3,1.4
SEWICKLEY HILLS,40.5681075283,-80.1271376721,Hallam,28,64.6,62,34,0,96,64.6,35.4,0.0
SHALER,40.5228996248,-79.9632440151,Hallam,276,53.5,2051,1775,5,3831,53.5,46.3,0.1
SHARPSBURG,40.4940131921,-79.9248963648,Hallam,36,53.9,207,171,6,384,53.9,44.5,1.6
SOUTH FAYETTE,40.3556473663,-80.1617145699,Hallam,155,54.3,918,763,9,1690,54.3,45.1,0.5
SOUTH PARK,40.298811481,-79.9944572311,Hallam,316,59.7,944,628,8,1580,59.7,39.7,0.5
SOUTH VERSAILLES,40.3037036538,-79.7951668632,Hallam,6,61.5,16,10,0,26,61.5,38.5,0.0
SPRINGDALE BR,40.5408709929,-79.7819010843,Doven,1,49.9,186,187,2,375,49.6,49.9,0.5
SPRINGDALE TP,40.5543554285,-79.7873199535,Hallam,25,55.7,117,92,1,210,55.7,43.8,0.5
STOWE,40.4829142587,-80.0734004601,Doven,27,52.0,279,306,3,588,47.4,52.0,0.5
SWISSVALE,40.4206184098,-79.8858880724,Hallam,395,62.5,976,581,4,1561,62.5,37.2,0.3
TARENTUM,40.6042584751,-79.7601386666,Hallam,36,56.5,153,117,1,271,56.5,43.2,0.4
THORNBURG,40.434583969,-80.0840515771,Doven,16,57.8,43,59,0,102,42.2,57.8,0.0
PENNSBURY VILLAGE,40.4282747156,-80.1011375574,Hallam,9,54.3,57,48,0,105,54.3,45.7,0.0
TRAFFORD,40.3843734892,-79.7662746353,Doven,4,75.0,2,6,0,8,25.0,75.0,0.0
TURTLE CREEK,40.4085710181,-79.8214685741,Hallam,3,50.1,215,212,2,429,50.1,49.4,0.5
UPPER ST. CLAIR,40.3336139558,-80.084127942,Hallam,415,58.7,1331,916,22,2269,58.7,40.4,1.0
VERONA,40.505084742,-79.8418667483,Hallam,8,51.4,147,139,0,286,51.4,48.6,0.0
VERSAILLES,40.3177239984,-79.8308812655,Doven,12,52.7,65,77,4,146,44.5,52.7,2.7
WALL,40.3915620093,-79.7856959868,Hallam,1,51.0,25,24,0,49,51.0,49.0,0.0
WEST DEER,40.6350706708,-79.8692864183,Hallam,52,52.0,626,574,4,1204,52.0,47.7,0.3
WEST ELIZABETH,40.2721539007,-79.8951701805,Doven,9,68.0,8,17,0,25,32.0,68.0,0.0
WEST HOMESTEAD,40.3977433764,-79.9185831435,Doven,44,56.7,129,173,3,305,42.3,56.7,1.0
WEST MIFFLIN,40.3580668422,-79.9072730242,Doven,152,52.6,1280,1432,8,2720,47.1,52.6,0.3
WEST VIEW,40.5181642946,-80.0332991519,Hallam,185,60.6,504,319,8,831,60.6,38.4,1.0
WHITAKER,40.4006712445,-79.8864190314,Doven,23,57.6,64,87,0,151,42.4,57.6,0.0
WHITEHALL,40.3602171932,-79.9897913152,Hallam,182,54.3,1078,896,12,1986,54.3,45.1,0.6
WHITE OAK,40.3415530285,-79.8008006548,Hallam,6,50.2,465,459,3,927,50.2,49.5,0.3
WILKINS,40.4264893535,-79.8230205194,Hallam,52,52.4,519,467,4,990,52.4,47.2,0.4
WILKINSBURG,40.4442180111,-79.8733262577,Hallam,422,59.0,1359,937,9,2305,59.0,40.7,0.4
WILMERDING,40.3941906756,-79.8100482893,Doven,6,52.2,64,70,0,134,47.8,52.2,0.0
