muni_name,muni_center_lat,muni_center_lon,winner,winner_net,winner_pct,Dugan_total,Zappala_total,Write-in_total,muni_total,Dugan_pct,Zappala_pct,Write-in_pct
ALEPPO,40.5329671012,-80.1435136794,Dugan,39,65.6,82,43,0,125,65.6,34.4,0.0
ASPINWALL,40.4928596238,-79.9037339023,Dugan,30,54.3,191,161,0,352,54.3,45.7,0.0
AVALON,40.5011104217,-80.0680399603,Dugan,45,59.8,137,92,0,229,59.8,40.2,0.0
BALDWIN BR,40.3690140442,-79.9668752452,Zappala,204,58.0,536,741,1,1278,41.9,58.0,0.1
BALDWIN TP,40.3801309126,-80.014264895,Zappala,9,53.8,54,63,0,117,46.2,53.8,0.0
BELL ACRES,40.5897861426,-80.1737855159,Dugan,5,53.4,39,34,0,73,53.4,46.6,0.0
BELLEVUE,40.494484533,-80.0549911889,Dugan,109,64.9,237,128,0,365,64.9,35.1,0.0
BEN AVON,40.5058499399,-80.0814998955,Dugan,47,70.8,80,33,0,113,70.8,29.2,0.0
BEN AVON HEIGHTS,40.5125495812,-80.07309166,Dugan,9,73.7,14,5,0,19,73.7,26.3,0.0
BETHEL PARK,40.3238217877,-80.0364204534,Zappala,7,50.2,1123,1131,1,2255,49.8,50.2,0.0
BLAWNOX,40.4921946551,-79.8599445605,Zappala,47,61.7,77,124,0,201,38.3,61.7,0.0
BRACKENRIDGE,40.6079783215,-79.7410282987,Zappala,53,61.7,87,140,0,227,38.3,61.7,0.0
BRADDOCK,40.401801524,-79.8689572618,Dugan,66,80.6,87,21,0,108,80.6,19.4,0.0
BRADDOCK HILLS,40.4180179396,-79.8629300408,Zappala,2,50.8,59,61,0,120,49.2,50.8,0.0
BRADFORD WOODS,40.6369423429,-80.0809073585,Dugan,13,60.0,39,26,0,65,60.0,40.0,0.0
BRENTWOOD,40.3733901063,-79.9757881637,Zappala,98,58.2,250,348,0,598,41.8,58.2,0.0
BRIDGEVILLE,40.3577634325,-80.1061833081,Zappala,10,51.8,131,141,0,272,48.2,51.8,0.0
CARNEGIE,40.4079964051,-80.0860294112,Dugan,16,51.7,245,229,0,474,51.7,48.3,0.0
CASTLE SHANNON,40.3664510454,-80.0194413677,Dugan,16,51.7,242,225,1,468,51.7,48.1,0.2
CHALFANT,40.4101018873,-79.838619697,Dugan,5,56.1,23,18,0,41,56.1,43.9,0.0
CHESWICK,40.5427922234,-79.8012457196,Zappala,25,60.2,49,74,0,123,39.8,60.2,0.0
CHURCHILL,40.4388605994,-79.8415980177,Dugan,101,61.9,263,162,0,425,61.9,38.1,0.0
CLAIRTON,40.2975931764,-79.885385351,Dugan,22,55.4,113,91,0,204,55.4,44.6,0.0
COLLIER,40.3990971611,-80.1321015567,Zappala,23,51.9,288,311,0,599,48.1,51.9,0.0
CORAOPOLIS,40.5148455763,-80.1626647575,Dugan,49,58.1,175,124,2,301,58.1,41.2,0.7
CRAFTON,40.4333016261,-80.0711401219,Dugan,96,60.4,279,183,0,462,60.4,39.6,0.0
CRESCENT,40.5561964413,-80.2287048835,Dugan,27,63.9,62,35,0,97,63.9,36.1,0.0
DORMONT,40.3940553152,-80.0377096919,Dugan,79,57.1,317,237,1,555,57.1,42.7,0.2
DRAVOSBURG,40.3508573908,-79.8906127754,Zappala,30,60.0,60,90,0,150,40.0,60.0,0.0
DUQUESNE,40.3731849682,-79.8502017524,Dugan,22,56.1,101,78,1,180,56.1,43.3,0.6
EAST DEER,40.5882939465,-79.7802279049,Zappala,70,74.0,38,108,0,146,26.0,74.0,0.0
EAST MCKEESPORT,40.3848189239,-79.8074481875,Zappala,4,52.3,41,45,0,86,47.7,52.3,0.0
EAST PITTSBURGH,40.3968768777,-79.8382065416,Dugan,4,54.5,24,20,0,44,54.5,45.5,0.0
EDGEWOOD,40.4313035044,-79.8839717635,Dugan,113,68.3,211,98,0,309,68.3,31.7,0.0
EDGEWORTH,40.5546343952,-80.1921750931,Dugan,23,63.9,53,30,0,83,63.9,36.1,0.0
ELIZABETH BR,40.2713823246,-79.8873670292,Zappala,4,55.9,15,19,0,34,44.1,55.9,0.0
ELIZABETH TP,40.2637868478,-79.8277463903,Zappala,91,56.2,323,414,0,737,43.8,56.2,0.0
EMSWORTH,40.511236207,-80.0965625504,Dugan,16,58.2,57,41,0,98,58.2,41.8,0.0
ETNA,40.4975721132,-79.947530213,Dugan,2,50.3,161,159,0,320,50.3,49.7,0.0
FAWN,40.6498803749,-79.7672678602,Zappala,2,51.2,41,43,0,84,48.8,51.2,0.0
FINDLAY,40.478263556,-80.2810584564,Dugan,55,60.3,161,106,0,267,60.3,39.7,0.0
FOREST HILLS,40.4250902135,-79.8544691352,Dugan,200,64.0,456,256,0,712,64.0,36.0,0.0
FORWARD,40.2261144012,-79.9021999673,Zappala,32,62.1,50,82,0,132,37.9,62.1,0.0
FOX CHAPEL,40.5247142282,-79.8897933243,Dugan,29,54.5,176,147,0,323,54.5,45.5,0.0
FRANKLIN PARK,40.5902797462,-80.0998508115,Dugan,191,62.6,473,280,2,755,62.6,37.1,0.3
FRAZER,40.6064982622,-79.796427941,Zappala,26,62.3,40,66,0,106,37.7,62.3,0.0
GLASSPORT,40.3261788906,-79.8862083815,Zappala,52,65.3,59,111,0,170,34.7,65.3,0.0
GLENFIELD,40.5207777739,-80.1333428342,Dugan,1,55.6,5,4,0,9,55.6,44.4,0.0
GREEN TREE,40.4170650261,-80.0543195574,Zappala,40,53.9,238,278,0,516,46.1,53.9,0.0
HAMPTON,40.5844175984,-79.9533593791,Dugan,43,51.7,662,619,0,1281,51.7,48.3,0.0
HARMAR,40.5470151587,-79.8386437203,Zappala,62,59.6,130,192,0,322,40.4,59.6,0.0
HARRISON,40.6375053295,-79.7172260601,Zappala,101,58.4,250,351,0,601,41.6,58.4,0.0
HAYSVILLE,40.5269248178,-80.1561512664,Dugan,2,100.0,2,0,0,2,100.0,0.0,0.0
HEIDELBERG,40.3914736101,-80.0921910873,Dugan,1,50.4,69,68,0,137,50.4,49.6,0.0
HOMESTEAD,40.4072815785,-79.909728261,Dugan,53,72.6,85,32,0,117,72.6,27.4,0.0
INDIANA,40.572992561,-79.8736973467,Zappala,84,57.1,252,336,0,588,42.9,57.1,0.0
INGRAM,40.4448305463,-80.0685039411,Dugan,40,56.0,187,147,0,334,56.0,44.0,0.0
JEFFERSON HILLS,40.2926240608,-79.9329049609,Zappala,29,52.4,288,317,0,605,47.6,52.4,0.0
KENNEDY,40.4767750958,-80.1028319549,Zappala,99,56.8,314,415,2,731,43.0,56.8,0.3
KILBUCK,40.5203521211,-80.0983246821,Dugan,3,52.9,27,24,0,51,52.9,47.1,0.0
LEET,40.5740266866,-80.2037857716,Dugan,10,56.9,41,31,0,72,56.9,43.1,0.0
LEETSDALE,40.565643399,-80.2144062328,Zappala,4,55.9,15,19,0,34,44.1,55.9,0.0
LIBERTY,40.3243177734,-79.8590470355,Zappala,8,54.3,42,50,0,92,45.7,54.3,0.0
LINCOLN,40.299484734,-79.855457382,Zappala,3,54.1,17,20,0,37,45.9,54.1,0.0
MARSHALL,40.6452740897,-80.110019364,Dugan,90,58.9,298,208,0,506,58.9,41.1,0.0
MCCANDLESS,40.5836006983,-80.0283138889,Dugan,260,55.7,1277,1014,3,2294,55.7,44.2,0.1
MCDONALD,40.3715903128,-80.2269760957,Dugan,0,50.0,4,4,0,8,50.0,50.0,0.0
MCKEESPORT,40.341876154,-79.8440020679,Zappala,12,51.1,267,279,0,546,48.9,51.1,0.0
MCKEES ROCKS,40.4687652366,-80.0630458872,Dugan,6,51.7,93,86,1,180,51.7,47.8,0.6
MILLVALE,40.4817384012,-79.973603732,Dugan,16,53.3,131,115,0,246,53.3,46.7,0.0
MONROEVILLE,40.4262399041,-79.7605272515,Dugan,68,51.7,1047,978,1,2026,51.7,48.3,0.0
MOON,40.5081596691,-80.2073380906,Dugan,404,65.1,869,464,1,1334,65.1,34.8,0.1
MOUNT LEBANON,40.3752498222,-80.0494413347,Dugan,766,62.7,1895,1128,1,3024,62.7,37.3,0.0
MOUNT OLIVER,40.4112805537,-79.9856420425,Dugan,4,51.9,56,52,0,108,51.9,48.1,0.0
MUNHALL,40.3935914898,-79.9004945306,Dugan,6,50.5,289,282,1,572,50.5,49.3,0.2
NEVILLE,40.5063507402,-80.1115003575,Dugan,13,67.6,25,12,0,37,67.6,32.4,0.0
NORTH BRADDOCK,40.4022728227,-79.8533371116,Zappala,21,53.1,157,180,2,339,46.3,53.1,0.6
NORTH FAYETTE,40.4203757047,-80.2245079685,Dugan,134,58.1,480,346,0,826,58.1,41.9,0.0
NORTH VERSAILLES,40.3784346571,-79.8084677048,Zappala,55,55.0,248,304,1,553,44.8,55.0,0.2
OAKDALE,40.4001763517,-80.1871507649,Zappala,6,53.8,37,43,0,80,46.3,53.8,0.0
OAKMONT,40.5200197453,-79.8365600181,Dugan,39,54.8,222,183,0,405,54.8,45.2,0.0
O'HARA,40.5092024135,-79.8949503818,Zappala,69,54.3,370,439,0,809,45.7,54.3,0.0
OHIO,40.5424610917,-80.0925939311,Dugan,46,54.8,261,215,0,476,54.8,45.2,0.0
GLEN OSBORNE,40.5307797921,-80.1679034089,Dugan,8,64.3,18,10,0,28,64.3,35.7,0.0
PENN HILLS,40.476217336,-79.8254062257,Dugan,632,60.3,1844,1207,5,3056,60.3,39.5,0.2
PINE,40.6437301455,-80.0314700613,Dugan,127,58.8,425,297,1,723,58.8,41.1,0.1
PITCAIRN,40.4077733303,-79.7763559261,Zappala,11,57.3,32,43,0,75,42.7,57.3,0.0
PITTSBURGH WARD 1,40.4374639839,-79.9938780597,Dugan,89,78.3,123,34,0,157,78.3,21.7,0.0
PITTSBURGH WARD 2,40.4475614992,-79.9898819105,Dugan,113,63.1,272,159,0,431,63.1,36.9,0.0
PITTSBURGH WARD 3,40.4420703356,-79.9854523304,Dugan,88,74.2,135,47,0,182,74.2,25.8,0.0
PITTSBURGH WARD 4,40.4386878915,-79.9586577203,Dugan,214,66.1,439,225,0,664,66.1,33.9,0.0
PITTSBURGH WARD 5,40.4492377906,-79.9669484316,Dugan,293,77.9,409,115,1,525,77.9,21.9,0.2
PITTSBURGH WARD 6,40.4613272817,-79.9673493445,Dugan,72,64.1,164,92,0,256,64.1,35.9,0.0
PITTSBURGH WARD 7,40.4534949802,-79.9322270088,Dugan,518,71.2,870,352,0,1222,71.2,28.8,0.0
PITTSBURGH WARD 8,40.4600190527,-79.9416829184,Dugan,224,67.1,440,214,2,656,67.1,32.6,0.3
PITTSBURGH WARD 9,40.4718176042,-79.9541103697,Dugan,184,65.4,390,205,1,596,65.4,34.4,0.2
PITTSBURGH WARD 10,40.4799586076,-79.9387046889,Dugan,512,67.1,1006,493,1,1500,67.1,32.9,0.1
PITTSBURGH WARD 11,40.4740156102,-79.9201006128,Dugan,923,73.6,1441,515,3,1959,73.6,26.3,0.2
PITTSBURGH WARD 12,40.4701274923,-79.9015523101,Dugan,268,77.9,374,104,2,480,77.9,21.7,0.4
PITTSBURGH WARD 13,40.455385638,-79.8849575852,Dugan,346,79.7,464,117,1,582,79.7,20.1,0.2
PITTSBURGH WARD 14,40.4364139751,-79.9183763342,Dugan,2053,73.7,3192,1136,3,4331,73.7,26.2,0.1
PITTSBURGH WARD 15,40.4143254293,-79.9374899629,Dugan,121,56.1,557,436,0,993,56.1,43.9,0.0
PITTSBURGH WARD 16,40.4174797415,-79.9688892289,Dugan,63,55.6,314,249,2,565,55.6,44.1,0.4
PITTSBURGH WARD 17,40.4264812989,-79.9855120588,Dugan,62,56.4,273,210,1,484,56.4,43.4,0.2
PITTSBURGH WARD 18,40.4174657138,-80.0002025037,Dugan,85,61.2,232,146,1,379,61.2,38.5,0.3
PITTSBURGH WARD 19,40.4140123971,-80.0179154834,Dugan,15,50.4,1001,986,0,1987,50.4,49.6,0.0
PITTSBURGH WARD 20,40.4350667315,-80.0428459428,Zappala,58,52.3,594,652,0,1246,47.7,52.3,0.0
PITTSBURGH WARD 21,40.4547709943,-80.0262089511,Dugan,83,76.4,120,37,0,157,76.4,23.6,0.0
PITTSBURGH WARD 22,40.4513067176,-80.0099794565,Dugan,84,75.3,125,41,0,166,75.3,24.7,0.0
PITTSBURGH WARD 23,40.4542937263,-79.9962466655,Dugan,50,62.4,126,76,0,202,62.4,37.6,0.0
PITTSBURGH WARD 24,40.4630954036,-79.9887007499,Dugan,21,52.9,190,167,2,359,52.9,46.5,0.6
PITTSBURGH WARD 25,40.460946386,-80.0116183606,Dugan,102,75.2,152,50,0,202,75.2,24.8,0.0
PITTSBURGH WARD 26,40.4797030764,-80.0100508924,Dugan,159,62.5,397,238,0,635,62.5,37.5,0.0
PITTSBURGH WARD 27,40.4771489241,-80.0345749853,Dugan,133,59.5,415,280,2,697,59.5,40.2,0.3
PITTSBURGH WARD 28,40.4412554676,-80.0694845438,Dugan,10,50.7,384,373,1,758,50.7,49.2,0.1
PITTSBURGH WARD 29,40.3948740302,-79.986088037,Zappala,95,59.0,216,311,0,527,41.0,59.0,0.0
PITTSBURGH WARD 30,40.4135568204,-79.9929833876,Dugan,25,60.9,70,45,0,115,60.9,39.1,0.0
PITTSBURGH WARD 31,40.3854898734,-79.9323655715,Zappala,18,53.2,131,150,1,282,46.5,53.2,0.4
PITTSBURGH WARD 32,40.3871327458,-80.0001669474,Zappala,56,57.9,150,206,0,356,42.1,57.9,0.0
PLEASANT HILLS,40.3298323238,-79.9596531779,Zappala,52,55.3,219,271,0,490,44.7,55.3,0.0
PLUM,40.5024030928,-79.7496201111,Zappala,250,57.3,729,980,1,1710,42.6,57.3,0.1
PORT VUE,40.3370541577,-79.8720244999,Zappala,4,51.6,61,66,1,128,47.7,51.6,0.8
RANKIN,40.4109547003,-79.8812336843,Dugan,16,69.0,29,13,0,42,69.0,31.0,0.0
RESERVE,40.4851089325,-79.9888064246,Zappala,17,52.7,148,165,0,313,47.3,52.7,0.0
RICHLAND,40.6439839052,-79.9579558983,Dugan,1,50.1,277,276,0,553,50.1,49.9,0.0
ROBINSON,40.4577747426,-80.1333479648,Zappala,69,52.7,602,671,0,1273,47.3,52.7,0.0
ROSS,40.5256043993,-80.0242499811,Dugan,85,51.9,1133,1047,1,2181,51.9,48.0,0.0
ROSSLYN FARMS,40.4224271193,-80.0885481682,Dugan,16,58.2,57,41,0,98,58.2,41.8,0.0
SCOTT,40.3875043541,-80.0791341083,Zappala,75,52.5,721,797,1,1519,47.5,52.5,0.1
SEWICKLEY,40.5399373905,-80.1793173586,Dugan,88,70.8,150,62,0,212,70.8,29.2,0.0
