muni_name,muni_center_lat,muni_center_lon,winner,winner_net,winner_pct,Innamorato_total,Weinstein_total,Lamb_total,Fawcett_total,Colaizzi_total,Parker_total,Write-in_total,muni_total,Innamorato_pct,Weinstein_pct,Lamb_pct,Fawcett_pct,Colaizzi_pct,Parker_pct,Write-in_pct
ALEPPO,40.5329671012,-80.1435136794,Innamorato,-72,35.6,89,67,60,25,6,3,0,250,35.6,26.8,24.0,10.0,2.4,1.2,0.0
ASPINWALL,40.4928596238,-79.9037339023,Innamorato,112,58.1,400,101,92,88,3,4,0,688,58.1,14.7,13.4,12.8,0.4,0.6,0.0
AVALON,40.5011104217,-80.0680399603,Innamorato,-97,42.4,272,180,101,66,14,7,1,641,42.4,28.1,15.8,10.3,2.2,1.1,0.2
BALDWIN BR,40.3690140442,-79.9668752452,Weinstein,-345,43.2,593,1104,586,203,39,26,2,2553,23.2,43.2,23.0,8.0,1.5,1.0,0.1
BALDWIN TP,40.3801309126,-80.014264895,Weinstein,-48,41.7,67,121,65,30,6,1,0,290,23.1,41.7,22.4,10.3,2.1,0.3,0.0
BELL ACRES,40.5897861426,-80.1737855159,Weinstein,-62,33.9,61,65,29,34,2,1,0,192,31.8,33.9,15.1,17.7,1.0,0.5,0.0
BELLEVUE,40.494484533,-80.0549911889,Innamorato,0,50.0,490,239,147,69,20,13,2,980,50.0,24.4,15.0,7.0,2.0,1.3,0.2
BEN AVON,40.5058499399,-80.0814998955,Innamorato,37,55.4,191,64,64,21,5,0,0,345,55.4,18.6,18.6,6.1,1.4,0.0,0.0
BEN AVON HEIGHTS,40.5125495812,-80.07309166,Innamorato,-18,38.5,30,13,21,13,1,0,0,78,38.5,16.7,26.9,16.7,1.3,0.0,0.0
BETHEL PARK,40.3238217877,-80.0364204534,Weinstein,-1404,34.3,1302,1533,1058,444,101,27,5,4470,29.1,34.3,23.7,9.9,2.3,0.6,0.1
BLAWNOX,40.4921946551,-79.8599445605,Innamorato,-71,32.3,65,64,29,35,6,2,0,201,32.3,31.8,14.4,17.4,3.0,1.0,0.0
BRACKENRIDGE,40.6079783215,-79.7410282987,Weinstein,-36,44.4,79,142,44,46,6,3,0,320,24.7,44.4,13.8,14.4,1.9,0.9,0.0
BRADDOCK,40.401801524,-79.8689572618,Innamorato,-50,39.1,90,51,48,24,6,11,0,230,39.1,22.2,20.9,10.4,2.6,4.8,0.0
BRADDOCK HILLS,40.4180179396,-79.8629300408,Innamorato,-59,40.8,131,84,59,33,9,5,0,321,40.8,26.2,18.4,10.3,2.8,1.6,0.0
BRADFORD WOODS,40.6369423429,-80.0809073585,Weinstein,-34,40.2,46,70,28,29,1,0,0,174,26.4,40.2,16.1,16.7,0.6,0.0,0.0
BRENTWOOD,40.3733901063,-79.9757881637,Weinstein,-237,38.7,312,408,193,93,30,17,0,1053,29.6,38.7,18.3,8.8,2.8,1.6,0.0
BRIDGEVILLE,40.3577634325,-80.1061833081,Weinstein,-71,42.8,130,212,86,40,20,6,1,495,26.3,42.8,17.4,8.1,4.0,1.2,0.2
CARNEGIE,40.4079964051,-80.0860294112,Weinstein,-229,36.3,272,304,164,62,24,9,2,837,32.5,36.3,19.6,7.4,2.9,1.1,0.2
CASTLE SHANNON,40.3664510454,-80.0194413677,Weinstein,-360,33.0,312,349,256,104,26,11,0,1058,29.5,33.0,24.2,9.8,2.5,1.0,0.0
CHALFANT,40.4101018873,-79.838619697,Weinstein,-27,38.1,32,43,19,15,3,1,0,113,28.3,38.1,16.8,13.3,2.7,0.9,0.0
CHESWICK,40.5427922234,-79.8012457196,Weinstein,-78,37.7,62,119,43,84,7,1,0,316,19.6,37.7,13.6,26.6,2.2,0.3,0.0
CHURCHILL,40.4388605994,-79.8415980177,Innamorato,-92,44.1,346,202,141,79,7,9,0,784,44.1,25.8,18.0,10.1,0.9,1.1,0.0
CLAIRTON,40.2975931764,-79.885385351,Weinstein,-68,45.2,180,318,97,64,19,24,2,704,25.6,45.2,13.8,9.1,2.7,3.4,0.3
COLLIER,40.3990971611,-80.1321015567,Weinstein,-245,39.5,272,463,286,117,27,6,0,1171,23.2,39.5,24.4,10.0,2.3,0.5,0.0
