muni_name,muni_center_lat,muni_center_lon,winner,winner_net,winner_pct,Powell_total,Autenreith_total,Write-in_total,muni_total,Powell_pct,Autenreith_pct,Write-in_pct
ETNA,40.4975721132,-79.947530213,,0,0,0,0,0,0,0,0,0
MILLVALE,40.4817384012,-79.973603732,,0,0,0,0,0,0,0,0,0
PITTSBURGH WARD 2,40.4475614992,-79.9898819105,,0,0,0,0,0,0,0,0,0
PITTSBURGH WARD 6,40.4613272817,-79.9673493445,,0,0,0,0,0,0,0,0,0
PITTSBURGH WARD 9,40.4718176042,-79.9541103697,,0,0,0,0,0,0,0,0,0
PITTSBURGH WARD 10,40.4799586076,-79.9387046889,,0,0,0,0,0,0,0,0,0
PITTSBURGH WARD 23,40.4542937263,-79.9962466655,,0,0,0,0,0,0,0,0,0
PITTSBURGH WARD 24,40.4630954036,-79.9887007499,,0,0,0,0,0,0,0,0,0
PITTSBURGH WARD 26,40.4797030764,-80.0100508924,,0,0,0,0,0,0,0,0,0
RESERVE,40.4851089325,-79.9888064246,,0,0,0,0,0,0,0,0,0
SHALER,40.5228996248,-79.9632440151,,0,0,0,0,0,0,0,0,0
