muni_name,muni_center_lat,muni_center_lon,winner,winner_net,Williams_total,Mizgorski_total,Write-in_total,muni_total,Williams_pct,Mizgorski_pct,Write-in_pct
ASPINWALL,40.4928596238,-79.9037339023,Williams,661,1130,468,1,1599,70.7,29.3,0.1
BLAWNOX,40.4921946551,-79.8599445605,Williams,173,388,213,2,603,64.3,35.3,0.3
BRACKENRIDGE,40.6079783215,-79.7410282987,Williams,33,557,524,0,1081,51.5,48.5,0.0
CHESWICK,40.5427922234,-79.8012457196,Williams,2,453,450,1,904,50.1,49.8,0.1
EAST DEER,40.5882939465,-79.7802279049,Mizgorski,7,264,271,0,535,49.3,50.7,0.0
ETNA,40.4975721132,-79.947530213,Williams,335,843,503,5,1351,62.4,37.2,0.4
FAWN,40.6498803749,-79.7672678602,Mizgorski,275,351,629,3,983,35.7,64.0,0.3
FOX CHAPEL,40.5247142282,-79.8897933243,Williams,527,2007,1473,7,3487,57.6,42.2,0.2
FRAZER,40.6064982622,-79.796427941,Mizgorski,136,192,328,0,520,36.9,63.1,0.0
HAMPTON,40.5844175984,-79.9533593791,Mizgorski,580,4920,5508,8,10436,47.1,52.8,0.1
HARMAR,40.5470151587,-79.8386437203,Mizgorski,59,713,774,2,1489,47.9,52.0,0.1
HARRISON,40.6375053295,-79.7172260601,Mizgorski,52,2128,2188,8,4324,49.2,50.6,0.2
INDIANA,40.572992561,-79.8736973467,Williams,85,1887,1799,3,3689,51.2,48.8,0.1
MCCANDLESS,40.5836006983,-80.0283138889,Williams,802,8334,7512,20,15866,52.5,47.3,0.1
O'HARA,40.5092024135,-79.8949503818,Williams,1387,3372,1974,11,5357,62.9,36.8,0.2
PINE,40.6437301455,-80.0314700613,Mizgorski,711,3426,4142,5,7573,45.2,54.7,0.1
PITTSBURGH WARD 10,40.4799586076,-79.9387046889,Williams,4526,5489,955,8,6452,85.1,14.8,0.1
PITTSBURGH WARD 11,40.4740156102,-79.9201006128,Williams,5127,5653,516,10,6179,91.5,8.4,0.2
PITTSBURGH WARD 12,40.4701274923,-79.9015523101,Williams,1940,2012,69,3,2084,96.5,3.3,0.1
RICHLAND,40.6439839052,-79.9579558983,Mizgorski,936,2645,3587,6,6238,42.4,57.5,0.1
ROSS,40.5256043993,-80.0242499811,Williams,1910,9441,7498,33,16972,55.6,44.2,0.2
SHALER,40.5228996248,-79.9632440151,Mizgorski,63,7700,7787,24,15511,49.6,50.2,0.2
SHARPSBURG,40.4940131921,-79.9248963648,Williams,363,776,407,6,1189,65.3,34.2,0.5
SPRINGDALE BR,40.5408709929,-79.7819010843,Mizgorski,16,704,721,1,1426,49.4,50.6,0.1
SPRINGDALE TP,40.5543554285,-79.7873199535,Mizgorski,33,391,424,0,815,48.0,52.0,0.0
TARENTUM,40.6042584751,-79.7601386666,Williams,49,651,596,6,1253,52.0,47.6,0.5
WEST DEER,40.6350706708,-79.8692864183,Mizgorski,1080,2513,3596,3,6112,41.1,58.8,0.0
WEST VIEW,40.5181642946,-80.0332991519,Williams,681,1914,1227,6,3147,60.8,39.0,0.2
