muni_name,DEM_pct_2020,REP_pct_2020,OTH_pct_2020,DEM_pct_2022,REP_pct_2022,OTH_pct_2022,DEM_pct_diff
BLACKLICK TWP,24.6,74.7,0.8,45.3,54.7,0.0,20.7
BROWNSTOWN BORO,39.8,59.0,1.2,57.1,42.1,0.9,17.3
CAMBRIA TWP,27.9,70.9,1.2,52.5,47.1,0.4,24.6
CONEMAUGH TWP,22.8,76.0,1.2,49.4,50.0,0.6,26.6
CROYLE TWP,24.1,74.8,1.2,46.3,53.6,0.2,22.2
DAISYTOWN BORO,20.0,78.4,1.6,42.7,56.7,0.6,22.7
DALE BORO,41.1,56.9,2.0,50.7,48.3,1.0,9.6
EAST CONEMAUGH BORO,34.4,64.3,1.3,60.2,39.4,0.3,25.8
EAST TAYLOR TWP,24.2,74.3,1.5,57.8,41.6,0.5,33.6
EBENSBURG BORO,38.5,60.1,1.4,60.6,39.1,0.3,22.1
EHRENFELD BORO,30.0,67.8,2.2,44.1,52.9,2.9,14.1
FRANKLIN BORO,42.7,55.9,1.4,75.5,24.5,0.0,32.8
JACKSON TWP,22.0,77.2,0.8,56.0,43.8,0.2,34.0
JOHNSTOWN CITY,49.9,48.8,1.3,59.5,39.9,0.7,9.6
LORAIN BORO,29.8,69.2,1.0,41.2,57.9,0.8,11.4
LOWER YODER TWP,34.3,65.3,0.4,55.2,44.3,0.5,20.9
MIDDLE TAYLOR TWP,30.6,68.3,1.2,50.6,49.2,0.3,20.0
NANTY GLO BORO,28.4,70.4,1.2,54.7,44.9,0.4,26.3
SOUTHMONT BORO,39.2,59.6,1.2,52.0,47.5,0.5,12.8
SUMMERHILL BORO,28.5,71.2,0.3,56.2,43.4,0.4,27.7
UPPER YODER TWP,34.8,64.1,1.1,53.9,45.6,0.5,19.1
VINTONDALE BORO,21.9,78.1,0.0,49.0,51.0,0.0,27.1
WEST TAYLOR TWP,22.5,75.8,1.6,46.9,52.8,0.3,24.4
WESTMONT BORO,39.0,59.9,1.1,50.4,48.9,0.8,11.4
