muni_name,DEM_pct_2012,REP_pct_2012,OTH_pct_2012,DEM_pct_2020,REP_pct_2020,OTH_pct_2020,DEM_pct_diff
ASPINWALL BORO,54.3,43.6,2.0,69.7,29.2,1.1,15.4
BLAWNOX BORO,55.9,41.3,2.8,58.1,40.3,1.7,2.2
BRACKENRIDGE BORO,52.4,45.4,2.1,43.8,54.1,2.1,-8.6
CHESWICK BORO,45.4,53.6,1.1,45.4,53.8,0.8,0.0
EAST DEER TWP,50.2,48.1,1.7,43.9,55.1,1.0,-6.3
FAWN TWP,36.1,62.1,1.7,30.8,68.3,0.9,-5.3
FOX CHAPEL BORO,40.9,58.5,0.5,61.0,38.0,1.0,20.1
FRAZER TWP,39.2,59.0,1.8,32.4,66.8,0.7,-6.8
HARMAR TWP,44.7,53.7,1.6,45.0,53.6,1.5,0.3
HARRISON TWP,47.3,51.4,1.4,43.8,54.9,1.3,-3.5
INDIANA TWP,41.1,57.5,1.5,48.5,50.1,1.4,7.4
OHARA TWP,50.5,48.6,1.0,62.2,36.7,1.1,11.7
SHARPSBURG BORO,62.8,35.7,1.5,61.3,37.2,1.5,-1.5
SPRINGDALE BORO,47.6,50.8,1.6,45.1,53.6,1.2,-2.5
SPRINGDALE TWP,45.9,53.6,0.5,45.1,53.6,1.2,-0.8
TARENTUM BORO,53.7,44.6,1.6,44.2,53.9,2.0,-9.5
