precinct_name,dem_total,rep_total,wi_total,precinct_total,dem_pct,rep_pct,wi_pct
Aleppo,278,304,1,583,47.7,52.1,0.2
Ben Avon Dist 1,133,50,0,183,72.7,27.3,0.0
Ben Avon Dist 2,234,106,1,341,68.6,31.1,0.3
Ben Avon Ht,104,75,0,179,58.1,41.9,0.0
Coraopolis Ward 1 Dist 1,79,20,0,99,79.8,20.2,0.0
Coraopolis Ward 1 Dist 2,94,41,0,135,69.6,30.4,0.0
Coraopolis Ward 2,125,61,3,189,66.1,32.3,1.6
Coraopolis Ward 3 Dist 1,97,55,0,152,63.8,36.2,0.0
Coraopolis Ward 3 Dist 2,72,69,0,141,51.1,48.9,0.0
Coraopolis Ward 4 Dist 1,79,47,1,127,62.2,37.0,0.8
Coraopolis Ward 4 Dist 2,93,78,2,173,53.8,45.1,1.2
Emsworth Dist 1,125,109,0,234,53.4,46.6,0.0
Emsworth Dist 2,146,111,2,259,56.4,42.9,0.8
Findlay Dist 1,161,276,1,438,36.8,63.0,0.2
Findlay Dist 2,258,313,2,573,45.0,54.6,0.3
Findlay Dist 3,197,193,0,390,50.5,49.5,0.0
Glenfield,29,33,0,62,46.8,53.2,0.0
Haysville,10,12,0,22,45.5,54.5,0.0
Kilbuck,136,115,1,252,54.0,45.6,0.4
Moon Dist 1,137,146,0,283,48.4,51.6,0.0
Moon Dist 2,341,359,0,700,48.7,51.3,0.0
Moon Dist 3,195,184,0,379,51.5,48.5,0.0
Moon Dist 4,123,163,1,287,42.9,56.8,0.3
Moon Dist 5,368,459,1,828,44.4,55.4,0.1
Moon Dist 6,307,473,0,780,39.4,60.6,0.0
Moon Dist 7,220,181,0,401,54.9,45.1,0.0
Moon Dist 8,154,180,1,335,46.0,53.7,0.3
Moon Dist 9,236,351,0,587,40.2,59.8,0.0
Moon Dist 10,121,128,0,249,48.6,51.4,0.0
Moon Dist 11,220,309,4,533,41.3,58.0,0.8
Moon Dist 12,196,198,2,396,49.5,50.0,0.5
Moon Dist 13,110,146,1,257,42.8,56.8,0.4
N Fayette Dist 1,282,333,4,619,45.6,53.8,0.6
N Fayette Dist 2,302,301,2,605,49.9,49.8,0.3
N Fayette Dist 3,280,313,1,594,47.1,52.7,0.2
N Fayette Dist 4,100,141,0,241,41.5,58.5,0.0
N Fayette Dist 5,325,398,2,725,44.8,54.9,0.3
Glen Osborne,123,79,1,203,60.6,38.9,0.5
Ross Ward 1 Dist 1,141,165,1,307,45.9,53.7,0.3
Ross Ward 1 Dist 2,138,86,0,224,61.6,38.4,0.0
Ross Ward 1 Dist 3,88,67,0,155,56.8,43.2,0.0
Ross Ward 1 Dist 4,183,145,0,328,55.8,44.2,0.0
Ross Ward 2 Dist 1,220,187,0,407,54.1,45.9,0.0
Ross Ward 2 Dist 2,194,185,0,379,51.2,48.8,0.0
Ross Ward 2 Dist 3,150,136,0,286,52.4,47.6,0.0
Ross Ward 3 Dist 1,145,99,0,244,59.4,40.6,0.0
Ross Ward 3 Dist 2,147,115,1,263,55.9,43.7,0.4
Ross Ward 3 Dist 3,76,83,0,159,47.8,52.2,0.0
Ross Ward 3 Dist 4,119,106,0,225,52.9,47.1,0.0
Ross Ward 4 Dist 1,170,164,1,335,50.7,49.0,0.3
Ross Ward 4 Dist 2,198,178,0,376,52.7,47.3,0.0
Ross Ward 4 Dist 3,124,156,0,280,44.3,55.7,0.0
Ross Ward 4 Dist 4,144,124,0,268,53.7,46.3,0.0
Ross Ward 5 Dist 1,119,119,0,238,50.0,50.0,0.0
Ross Ward 5 Dist 2,83,60,1,144,57.6,41.7,0.7
Ross Ward 5 Dist 3,112,123,1,236,47.5,52.1,0.4
Ross Ward 5 Dist 4,151,125,1,277,54.5,45.1,0.4
Ross Ward 6 Dist 1,109,75,0,184,59.2,40.8,0.0
Ross Ward 6 Dist 2,196,111,3,310,63.2,35.8,1.0
Ross Ward 6 Dist 3,126,89,0,215,58.6,41.4,0.0
Ross Ward 6 Dist 4,106,67,0,173,61.3,38.7,0.0
Ross Ward 7 Dist 1,113,91,0,204,55.4,44.6,0.0
Ross Ward 7 Dist 2,72,51,0,123,58.5,41.5,0.0
Ross Ward 7 Dist 3,144,112,0,256,56.3,43.8,0.0
Ross Ward 7 Dist 4,88,98,0,186,47.3,52.7,0.0
Ross Ward 8 Dist 1,297,218,0,515,57.7,42.3,0.0
Ross Ward 8 Dist 2,100,75,0,175,57.1,42.9,0.0
Ross Ward 8 Dist 3,145,97,0,242,59.9,40.1,0.0
Ross Ward 9 Dist 1,160,186,0,346,46.2,53.8,0.0
Ross Ward 9 Dist 2,184,163,0,347,53.0,47.0,0.0
Ross Ward 9 Dist 3,160,159,0,319,50.2,49.8,0.0
West View Dist 1,120,76,1,197,60.9,38.6,0.5
West View Dist 2,120,71,0,191,62.8,37.2,0.0
West View Dist 3,93,80,0,173,53.8,46.2,0.0
West View Dist 4,120,83,0,203,59.1,40.9,0.0
West View Dist 5,160,98,1,259,61.8,37.8,0.4
West View Dist 6,137,100,2,239,57.3,41.8,0.8
West View Dist 7,161,100,0,261,61.7,38.3,0.0
-1,12203,11533,47,23783,51.3,48.5,0.2
