precinct_name,dem_total,rep_total,wi_total,precinct_total,dem_pct,rep_pct,wi_pct
Ben Avon Dist 1,260,99,0,359,72.4,27.6,0.0
Ben Avon Dist 2,491,215,2,708,69.4,30.4,0.3
Ben Avon Ht,159,102,0,261,60.9,39.1,0.0
Emsworth Dist 1,308,179,0,487,63.2,36.8,0.0
Emsworth Dist 2,333,224,1,558,59.7,40.1,0.2
Franklin Pk Ward 1 Dist 1,381,411,0,792,48.1,51.9,0.0
Franklin Pk Ward 1 Dist 2,523,442,0,965,54.2,45.8,0.0
Franklin Pk Ward 1 Dist 3,521,416,0,937,55.6,44.4,0.0
Franklin Pk Ward 2 Dist 1,506,401,1,908,55.7,44.2,0.1
Franklin Pk Ward 2 Dist 2,469,430,0,899,52.2,47.8,0.0
Franklin Pk Ward 2 Dist 3,598,464,0,1062,56.3,43.7,0.0
Franklin Pk Ward 3 Dist 1,465,433,1,899,51.7,48.2,0.1
Franklin Pk Ward 3 Dist 2,310,263,1,574,54.0,45.8,0.2
Franklin Pk Ward 3 Dist 3,517,445,1,963,53.7,46.2,0.1
Hampton Dist 3,466,474,1,941,49.5,50.4,0.1
Hampton Dist 4,193,223,0,416,46.4,53.6,0.0
Hampton Dist 5,268,238,0,506,53.0,47.0,0.0
Hampton Dist 12,348,298,0,646,53.9,46.1,0.0
Hampton Dist 13,285,254,3,542,52.6,46.9,0.6
Kilbuck,260,202,1,463,56.2,43.6,0.2
McCandless Ward 1 Dist 1,426,382,2,810,52.6,47.2,0.2
McCandless Ward 1 Dist 2,301,207,2,510,59.0,40.6,0.4
McCandless Ward 1 Dist 3,395,351,2,748,52.8,46.9,0.3
McCandless Ward 2 Dist 1,579,387,0,966,59.9,40.1,0.0
McCandless Ward 2 Dist 2,333,316,0,649,51.3,48.7,0.0
McCandless Ward 2 Dist 3,298,308,1,607,49.1,50.7,0.2
McCandless Ward 3 Dist 1,408,303,2,713,57.2,42.5,0.3
McCandless Ward 3 Dist 2,422,342,0,764,55.2,44.8,0.0
McCandless Ward 3 Dist 3,430,378,0,808,53.2,46.8,0.0
McCandless Ward 4 Dist 1,251,67,0,318,78.9,21.1,0.0
McCandless Ward 4 Dist 2,341,272,0,613,55.6,44.4,0.0
McCandless Ward 4 Dist 3,290,273,1,564,51.4,48.4,0.2
McCandless Ward 5 Dist 1,296,337,0,633,46.8,53.2,0.0
McCandless Ward 5 Dist 2,531,391,3,925,57.4,42.3,0.3
McCandless Ward 5 Dist 3,446,245,0,691,64.5,35.5,0.0
McCandless Ward 6 Dist 1,181,170,0,351,51.6,48.4,0.0
McCandless Ward 6 Dist 2,400,360,0,760,52.6,47.4,0.0
McCandless Ward 6 Dist 3,758,531,0,1289,58.8,41.2,0.0
McCandless Ward 7 Dist 1,583,480,3,1066,54.7,45.0,0.3
McCandless Ward 7 Dist 2,390,322,2,714,54.6,45.1,0.3
McCandless Ward 7 Dist 3,203,178,0,381,53.3,46.7,0.0
Ohio Dist 1,583,530,0,1113,52.4,47.6,0.0
Ohio Dist 2,741,634,0,1375,53.9,46.1,0.0
Ohio Dist 3,822,567,1,1390,59.1,40.8,0.1
